##########
Profile for 12h LTST, a latitude of 18.45 deg North and a longitude of 77.4 deg East at Ls=180deg
##########
Altitude,wind,w_l,t,p,rho,vmr_co2,vmr_ar,vmr_n2,vmr_o2,Cp,vmr_h2o,Att_1Hz,C_1Hz,Att_10Hz,C_10Hz,Att_100Hz,C_100Hz,Att_1000Hz,C_1000Hz,Att_10000Hz,C_10000Hz,Att_100000Hz,C_100000Hz,Att_84Hz,C_84Hz,Att_168Hz,C_168Hz
29.3235,2.28308,0.000378421,234.785,646.917,0.014412,0.949968,0.0202394,0.0270023,0.00157816,789.283,0.000233251,1.49558036004899e-05,244.425004950963,0.000595721435510678,244.557418575012,0.0336527686165871,247.275180914064,0.0809250853349308,251.072476067281,0.308928280505542,251.163932653234,23.0025204145814,251.164860111775,0.0271141437272799,246.733420353225,0.0537176140605163,248.950625404807
31.9412,2.3018,0.00040987,234.752,646.776,0.0144109,0.949968,0.0202394,0.0270023,0.00157816,789.246,0.000233252,1.49538135214456e-05,244.413546509649,0.000596045282477375,244.545896957695,0.0336530056399035,247.26535913058,0.0808624135902068,251.05969288644,0.308896219306476,251.15100139313,23.0057876633064,251.151927331512,0.0271175116081612,246.723513505953,0.0536987023856045,248.940264350877
34.5588,2.32057,0.00044132,234.72,646.635,0.0144097,0.949968,0.0202394,0.0270023,0.00157816,789.209,0.000233252,1.49489441301727e-05,244.394551909828,0.000596244502856923,244.52680634912,0.0336466008706838,247.24721178803,0.0807858020061171,251.037630531932,0.308852328751958,251.128769675865,23.0092690920497,251.129693878687,0.0271154545353454,246.705427422815,0.0536696553336615,248.921140800919
37.1765,2.33934,0.000472769,234.687,646.495,0.0144086,0.949968,0.0202394,0.0270023,0.00157816,789.172,0.000233253,1.49458682025814e-05,244.379631482179,0.000596525104776675,244.511809670233,0.0336444747122631,247.233632394622,0.0807183173573896,251.020726114681,0.308825543777973,251.111709293537,23.0135552426069,251.1126318965,0.0271168988423419,246.69181873292,0.0536471273626557,248.906854396275
39.7941,2.35805,0.000504219,234.654,646.354,0.0144075,0.949968,0.0202394,0.0270023,0.00157816,789.135,0.000233253,1.49418846630703e-05,244.363571871535,0.000596770040202964,244.495664909077,0.0336401160549077,247.21871641537,0.0806449488720705,251.002165133011,0.308778039035818,251.092984045782,23.0163458599671,251.093904964593,0.0271165762163077,246.676914211138,0.0536208612798538,248.89109689517
42.4118,2.36707,0.000535668,234.622,646.213,0.0144063,0.949968,0.0202394,0.0270023,0.00157816,789.098,0.000233254,1.49390030160009e-05,244.349170755436,0.000597049159735525,244.48119082777,0.0336381912822843,247.205652417345,0.0805791463323367,250.985871791932,0.308734816279725,251.07653898035,23.0187972334916,251.077458342833,0.0271181246290203,246.663818237357,0.0535990418200972,248.877350122831
45.0294,2.37522,0.000567114,234.589,646.072,0.0144052,0.949968,0.0202394,0.0270023,0.00157816,789.061,0.000233254,1.49370066605818e-05,244.337705630187,0.00059737397999112,244.469663377116,0.0336383310094916,247.195822103059,0.0805166985891961,250.973079606305,0.308706514348715,251.063599832661,23.0224192696938,251.064517686738,0.0271214223234729,246.653905614158,0.0535800166624942,248.866972640817
47.6471,2.38339,0.000598564,234.557,645.931,0.014404,0.949968,0.0202395,0.0270024,0.00157816,789.024,0.000233255,1.49321317704674e-05,244.318687857595,0.000597573633484126,244.450550468668,0.0336318305481075,247.177646232172,0.0804403653538135,250.950993414703,0.308662637167817,251.041345640837,23.0258714130394,251.04226177362,0.0271192912443048,246.635793933645,0.0535508872574361,248.847813645304
50.2647,2.39157,0.000630013,234.524,645.791,0.0144029,0.949968,0.0202395,0.0270024,0.00157816,788.987,0.000233255,1.49290509890573e-05,244.303761040869,0.000597855112120869,244.435548290166,0.0336296084470455,247.164057965342,0.0803730960334658,250.934081375696,0.308636550268763,251.024278822991,23.0302039824213,251.025193368372,0.027120665296471,246.62217912217,0.0535282541792889,248.833510900366
52.8824,2.39975,0.000661462,234.491,645.65,0.0144017,0.949968,0.0202395,0.0270024,0.00157816,788.95,0.000233256,1.49270507327702e-05,244.292291929929,0.000598180498692653,244.424017365723,0.033629687492088,247.154222546697,0.0803105743540261,250.921283799834,0.308589771655344,251.011334950197,23.0319657821724,251.012247994168,0.0271239191833098,246.612263053553,0.0535091550619031,248.823123584204
55.5,2.40795,0.000692912,234.459,645.509,0.0144006,0.949968,0.0202395,0.0270024,0.00157816,788.913,0.000233256,1.49221752344286e-05,244.273281749689,0.000598380756825367,244.404912646798,0.0336231309657679,247.136053500713,0.0802343570615195,250.899205684662,0.308546285955425,250.989089539909,23.0354444161271,250.990000869985,0.0271217476649186,246.594159721522,0.053479961102591,248.803967281644
